LTE/5g Category,Time,Packet Loss Rate,Packet delay,IoT,LTE/5G,GBR,Non-GBR,AR/VR/Gaming,Healthcare,Industry 4.0,IoT Devices,Public Safety,Smart City & Home,Smart Transportation,Smartphone,slice Type
14,0,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
18,20,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
17,14,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
3,17,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
9,4,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
19,2,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
15,2,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
19,3,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
8,20,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
13,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
3,4,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
7,17,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
7,3,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
4,14,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
15,20,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
1,16,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
18,16,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
9,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
7,15,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
8,21,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
20,18,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
10,5,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
19,5,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
2,4,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
14,4,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
3,10,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
9,17,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
13,22,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
5,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
13,22,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
15,16,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
16,20,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
8,6,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
21,11,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
7,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
12,2,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1
11,11,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
4,2,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
3,21,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
13,2,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
7,11,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
7,9,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
3,10,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
14,20,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
6,1,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
12,16,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
6,1,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
17,21,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
4,0,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
9,6,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
16,20,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
5,18,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
11,5,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
20,7,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
22,16,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
16,23,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
20,17,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
16,15,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
20,14,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
21,10,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
5,3,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
5,11,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
19,22,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
18,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
4,0,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2
11,5,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
9,2,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
3,3,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
9,17,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3
18,0,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1
3,17,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1
20,23,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1
6,21,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1
21,20,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
18,16,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2
17,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3
22,21,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2
7,1,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
9,10,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
12,0,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
9,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
16,12,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
16,11,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1
12,11,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1
7,13,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3
7,20,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1
5,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1
15,3,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3
13,19,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1
20,21,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2
